,date,close,symbol
0,2014-09-08,30.196542237565424,GOOG
1,2014-09-10,29.989,GOOG
2,2014-09-26,30.235077792381034,GOOG
3,2014-10-07,29.478,GOOG
4,2014-10-16,26.8207,GOOG
5,2015-10-05,32.1304,GOOG
6,2015-10-06,33.66210654724257,GOOG
7,2015-10-07,32.244,GOOG
8,2015-10-08,31.974,GOOG
9,2015-10-09,33.4696,GOOG
10,2015-10-12,32.7,GOOG
11,2015-10-13,32.688,GOOG
12,2015-10-14,33.412,GOOG
13,2015-10-15,34.72,GOOG
14,2015-10-16,34.1446661370046,GOOG
15,2015-10-19,33.781,GOOG
16,2015-10-20,33.525,GOOG
17,2015-10-21,32.811939137623426,GOOG
18,2015-10-22,33.4352,GOOG
19,2015-10-23,36.5,GOOG
20,2015-10-26,36.945,GOOG
21,2015-10-27,36.9937,GOOG
22,2015-10-28,36.5888,GOOG
23,2015-10-29,36.102,GOOG
24,2015-10-30,36.9799,GOOG
25,2015-11-02,36.6641,GOOG
26,2015-11-03,36.556,GOOG
27,2015-11-04,36.7325,GOOG
28,2015-11-05,37.8044,GOOG
29,2015-11-06,38.084,GOOG
30,2015-11-09,37.7199,GOOG
31,2015-11-10,37.055758737141694,GOOG
32,2015-11-11,37.53,GOOG
33,2015-11-12,37.662,GOOG
34,2015-11-13,37.49,GOOG
35,2015-11-16,37.985,GOOG
36,2015-11-17,36.678,GOOG
37,2015-11-18,38.0,GOOG
38,2015-11-19,36.9299,GOOG
39,2015-11-20,38.301058882963034,GOOG
40,2015-11-23,39.084,GOOG
41,2015-11-24,37.762,GOOG
42,2015-11-25,38.0605,GOOG
43,2015-11-27,37.91,GOOG
44,2015-11-30,37.18,GOOG
45,2015-12-01,39.45,GOOG
46,2015-12-02,39.491,GOOG
47,2015-12-03,37.712,GOOG
48,2015-12-04,39.1369,GOOG
49,2015-12-07,39.1529,GOOG
50,2015-12-08,39.25216462248631,GOOG
51,2015-12-09,39.3992,GOOG
52,2015-12-10,38.77407384086623,GOOG
53,2015-12-11,37.5084,GOOG
54,2015-12-14,39.1729,GOOG
55,2015-12-15,37.26,GOOG
56,2015-12-16,39.62098368701711,GOOG
57,2015-12-17,38.6789,GOOG
58,2015-12-18,38.4765,GOOG
59,2015-12-21,38.3504,GOOG
60,2015-12-22,37.7,GOOG
61,2015-12-23,37.76418066045296,GOOG
62,2015-12-24,38.05,GOOG
63,2015-12-28,39.2252,GOOG
64,2015-12-29,39.560220539413905,GOOG
65,2015-12-30,40.27640217613476,GOOG
66,2015-12-31,37.969,GOOG
67,2016-01-04,38.248378815635135,GOOG
68,2016-01-05,37.251871479944136,GOOG
69,2016-01-06,38.80956270884628,GOOG
70,2016-01-07,37.0693,GOOG
71,2016-01-08,36.9568,GOOG
72,2016-01-11,36.268,GOOG
73,2016-01-12,38.08530649179954,GOOG
74,2016-01-13,35.053,GOOG
75,2016-01-14,37.03844775848497,GOOG
76,2016-01-15,36.321960050937896,GOOG
77,2016-01-19,36.0787,GOOG
78,2016-01-20,36.01099198961976,GOOG
